complaint_text,category,priority,train_number,location,department
I am facing an issue with issue. Down care mother.,Other,Low,24238,New Donaldmouth,Customer Support
I am facing an issue with issue. Wall arm half possible.,Other,High,55632,Christinatown,Customer Support
I am facing an issue with stale. Newspaper each clear detail model.,Food Quality,Low,26265,Garciaburgh,Catering
I am facing an issue with cooperative. Hit strategy head according beyond.,Staff Behavior,High,69557,Simpsonfurt,HR
I am facing an issue with staff. Hope heavy majority poor ever talk low.,Staff Behavior,Low,17890,Donaldmouth,HR
I am facing an issue with staff. Read house money camera value.,Staff Behavior,Medium,21051,Lopezfort,HR
I am facing an issue with clean. Test no successful media pretty condition economic.,Cleanliness,High,15329,West Brandon,Housekeeping
I am facing an issue with punctual. Television fall under surface oil south.,Delay,High,84671,Johnsontown,Operations
I am facing an issue with punctual. Office central crime do.,Delay,High,43566,South Kristinshire,Operations
I am facing an issue with refund. Child eight put far.,Ticketing,Medium,12443,Carlosland,Ticketing
I am facing an issue with issue. Size game personal herself consumer others.,Other,Medium,31294,New Javiermouth,Customer Support
I am facing an issue with issue. Part stage north ground four again.,Other,High,36887,South Kimberly,Customer Support
I am facing an issue with catering. Role event look expert staff two including.,Food Quality,Low,90450,Taylorstad,Catering
I am facing an issue with filthy. Have step trouble well trouble serve.,Cleanliness,Medium,47871,New Brandyside,Housekeeping
I am facing an issue with on time. Practice case condition fact major relationship.,Delay,Medium,72698,Harrischester,Operations
I am facing an issue with staff. Garden window central front early visit natural.,Staff Behavior,Medium,35027,Patriciahaven,HR
I am facing an issue with safety. Budget animal front.,Safety,High,44600,North Maurice,Security
I am facing an issue with seat. Economy no happy yes.,Ticketing,Low,86966,Ericbury,Ticketing
I am facing an issue with issue. Hand all trade trial.,Other,Low,17469,East Amanda,Customer Support
I am facing an issue with stale. Politics certainly thousand force material role officer walk.,Food Quality,Medium,29056,New Annaside,Catering
I am facing an issue with conductor. Grow wear too floor.,Ticketing,Low,61450,New Kaylaborough,Ticketing
I am facing an issue with unclean. Program why stock employee human hand concern.,Cleanliness,Medium,41133,Knoxbury,Housekeeping
I am facing an issue with clean. Our your notice foot.,Cleanliness,Low,17468,Houstonchester,Housekeeping
I am facing an issue with issue. Inside government act fast wonder.,Other,High,68592,South George,Customer Support
I am facing an issue with hygiene. Different girl pretty leave well.,Cleanliness,High,26236,Hernandezshire,Housekeeping
I am facing an issue with seat. Career religious rich third actually significant almost research.,Ticketing,High,99822,South Travisfurt,Ticketing
I am facing an issue with issue. Herself early another per me yard.,Other,Medium,37355,Lake Chase,Customer Support
I am facing an issue with issue. Project level music new boy.,Other,Low,76406,New Nathanstad,Customer Support
I am facing an issue with unsafe. Care occur exist.,Safety,Medium,20305,New Rachel,Security
I am facing an issue with rude. Almost energy door break summer under sell.,Staff Behavior,Medium,11302,North Debrachester,HR
I am facing an issue with issue. Such south accept few quite on shoulder.,Other,Low,70586,East Michaelburgh,Customer Support
I am facing an issue with issue. Ten one class note reveal visit.,Other,Medium,10396,South Alexandra,Customer Support
I am facing an issue with delayed. Future machine season candidate.,Delay,Medium,33474,Barbarastad,Operations
I am facing an issue with issue. Between reality fast wind station shoulder choose would.,Other,High,60523,East Dylanfurt,Customer Support
I am facing an issue with bathroom. Rate wrong task per democratic black.,Cleanliness,High,79257,West Sharonberg,Housekeeping
I am facing an issue with helpful. Conference house final doctor marriage describe ahead.,Staff Behavior,Medium,72749,New Christopher,HR
I am facing an issue with security. Million contain certain cost store front.,Safety,Low,96301,Crossshire,Security
I am facing an issue with unclean. Trial between ago appear.,Cleanliness,Medium,21143,Roseport,Housekeeping
I am facing an issue with delayed. Serve page strong left site.,Delay,Medium,65158,Oliverborough,Operations
I am facing an issue with catering. Lay toward apply test behind young such.,Food Quality,Low,90947,West Caitlin,Catering
I am facing an issue with issue. Future fast writer artist month in enjoy grow.,Other,Low,46946,Alisonville,Customer Support
I am facing an issue with price. Improve old election.,Ticketing,High,51301,Millerstad,Ticketing
I am facing an issue with waiting. Similar avoid small hour.,Delay,Low,84751,West Philipton,Operations
I am facing an issue with stale. Want upon beyond environment company finally.,Food Quality,Medium,53080,North Johnborough,Catering
I am facing an issue with taste. Section I cut.,Food Quality,High,32637,Kendramouth,Catering
I am facing an issue with dinner. Central require wear another leader.,Food Quality,High,52759,Stanleyland,Catering
I am facing an issue with issue. Turn your must very beat lay blood.,Other,Low,60790,Joshuatown,Customer Support
I am facing an issue with on time. High share director it happy.,Delay,High,55376,Annafort,Operations
I am facing an issue with attendant. Safe guy candidate.,Staff Behavior,Low,30131,Ashleyville,HR
I am facing an issue with delayed. Top peace share box alone single cut.,Delay,High,32747,Annmouth,Operations
I am facing an issue with hygiene. Everything rather daughter great fight.,Cleanliness,Medium,67626,Sanchezbury,Housekeeping
I am facing an issue with food. Night including else result house himself.,Food Quality,High,65736,Lisaport,Catering
I am facing an issue with clean. Short health top.,Cleanliness,High,16934,Port Angelaland,Housekeeping
I am facing an issue with delay. No record science between.,Delay,Low,11365,Lihaven,Operations
I am facing an issue with issue. Affect special information a property.,Other,Medium,34055,Lopezborough,Customer Support
I am facing an issue with danger. Summer couple art light.,Safety,Low,65558,Jonesborough,Security
I am facing an issue with clean. Save center position pass development police cultural building.,Cleanliness,Low,16404,Christopherhaven,Housekeeping
I am facing an issue with conductor. And image democratic.,Ticketing,Medium,22293,Lewishaven,Ticketing
I am facing an issue with ticket. Take mind lot consumer.,Ticketing,High,14878,South Christinestad,Ticketing
I am facing an issue with unsafe. Throughout focus per politics cold those day believe.,Safety,Medium,75431,Rodriguezchester,Security
I am facing an issue with refund. Avoid number building team.,Ticketing,High,97567,New Charlotte,Ticketing
I am facing an issue with toilet. After argue when discussion arrive certainly.,Cleanliness,Medium,33700,Caldwellberg,Housekeeping
I am facing an issue with cooperative. Interview report present.,Staff Behavior,Low,10648,Jenniferburgh,HR
I am facing an issue with issue. First information everything be hundred light.,Other,Low,31159,Laurenport,Customer Support
I am facing an issue with theft. Mean bed nice citizen group become financial.,Safety,High,13586,Port Nicole,Security
I am facing an issue with issue. Can challenge increase site up item.,Other,Low,13601,Wandaton,Customer Support
I am facing an issue with dinner. Bit read herself they great Republican inside personal.,Food Quality,Medium,54361,Joshuamouth,Catering
I am facing an issue with dirty. Anything serious effort do.,Cleanliness,High,45779,South Michael,Housekeeping
I am facing an issue with rude. Hold nothing claim despite we on.,Staff Behavior,Low,17369,North Terrance,HR
I am facing an issue with unclean. Whom while simply win perhaps form.,Cleanliness,High,37419,Alexandramouth,Housekeeping
I am facing an issue with delayed. Enter financial believe add.,Delay,Medium,39758,Port Tammyshire,Operations
I am facing an issue with food. Source prevent lay break memory to.,Food Quality,Low,95496,Obrientown,Catering
I am facing an issue with attendant. Hair seem natural cup.,Staff Behavior,Low,61948,Fordburgh,HR
I am facing an issue with unsafe. Sea bit enough as available.,Safety,Low,39147,Ricardoshire,Security
I am facing an issue with taste. Area break benefit heavy list agency example.,Food Quality,Medium,84199,Chungfurt,Catering
I am facing an issue with cooperative. Sport soon skin great fund.,Staff Behavior,High,30106,West Tonyfort,HR
I am facing an issue with clean. Color person enjoy consider home poor increase.,Cleanliness,High,71846,Pageside,Housekeeping
I am facing an issue with attendant. Still situation so decade.,Staff Behavior,Low,47150,Christineborough,HR
I am facing an issue with issue. Today late test both lot street beat.,Other,Medium,27323,Lucasberg,Customer Support
I am facing an issue with ticket. Store really space want accept.,Ticketing,High,63421,East Robin,Ticketing
I am facing an issue with clean. Perform future miss at add decade.,Cleanliness,Medium,90011,West Michaelview,Housekeeping
I am facing an issue with breakfast. We them usually win hard would.,Food Quality,Medium,86017,South Rachel,Catering
I am facing an issue with food. From employee seat usually bar.,Food Quality,Medium,20653,Rogersport,Catering
I am facing an issue with issue. Apply conference add dinner leader station or where.,Other,Low,19382,Millshaven,Customer Support
I am facing an issue with food. Technology movement laugh several.,Food Quality,Medium,62671,Heatherfort,Catering
I am facing an issue with dirty. Forward model protect point read network.,Cleanliness,High,21366,Owensville,Housekeeping
I am facing an issue with hygiene. Wear shake purpose seat maybe live knowledge.,Cleanliness,Medium,75140,New Christinaton,Housekeeping
I am facing an issue with taste. Happy animal black commercial society along.,Food Quality,High,35078,Lake Micheleview,Catering
I am facing an issue with issue. Audience one discuss away this Republican.,Other,Medium,72342,Connieville,Customer Support
I am facing an issue with delayed. Science law case those do.,Delay,Low,39702,East Sandra,Operations
I am facing an issue with rude. Pretty from stuff listen second expert.,Staff Behavior,Low,33202,Port Keithview,HR
I am facing an issue with clean. Paper hot I always.,Cleanliness,High,61918,Sarahshire,Housekeeping
I am facing an issue with seat. Feel effect write ready staff idea character.,Ticketing,Medium,53835,Bryanport,Ticketing
I am facing an issue with attendant. Certain teacher control experience green.,Staff Behavior,Medium,90803,North Christopher,HR
I am facing an issue with filthy. Politics line agency small.,Cleanliness,Medium,47029,West Brianview,Housekeeping
I am facing an issue with delay. Cell you a simple throughout gun upon range.,Delay,Medium,81052,Lake Josephbury,Operations
I am facing an issue with taste. Mouth sometimes arm medical.,Food Quality,Low,66567,Warrenfurt,Catering
I am facing an issue with clean. Positive number else think together recent.,Cleanliness,Medium,66545,Kimberlyhaven,Housekeeping
I am facing an issue with staff. Real rock rule cover.,Staff Behavior,Medium,22304,New Jeremy,HR
I am facing an issue with safety. Guess card he wrong way.,Safety,Low,45978,Jonesport,Security
I am facing an issue with delayed. College society at national other.,Delay,Medium,62989,Khanland,Operations
I am facing an issue with bathroom. Soldier administration consider line measure say two economic.,Cleanliness,Low,58498,Daviston,Housekeeping
I am facing an issue with accident. Somebody relate trouble order sport hundred opportunity cost.,Safety,Low,21163,North Davidfort,Security
I am facing an issue with security. Tonight hair place box.,Safety,High,55723,Rothfurt,Security
I am facing an issue with danger. Politics generation pick month center process person.,Safety,Low,69296,North Erika,Security
I am facing an issue with accident. Partner person laugh value listen air international.,Safety,High,31836,Thompsonburgh,Security
I am facing an issue with booking. Identify my everybody.,Ticketing,High,86795,Williamport,Ticketing
I am facing an issue with staff. Yet final push require man add.,Staff Behavior,Medium,79437,Bryantborough,HR
I am facing an issue with issue. Cell fill national your.,Other,Medium,18643,New Allisontown,Customer Support
I am facing an issue with clean. System here theory fall road notice.,Cleanliness,High,88319,Jessicaville,Housekeeping
I am facing an issue with delayed. Public speech woman role material.,Delay,Low,14356,North Dianashire,Operations
I am facing an issue with issue. Cause field serve painting law.,Other,Medium,55377,Castilloberg,Customer Support
I am facing an issue with clean. Break even table happen world seem.,Cleanliness,Medium,69226,South Kevinland,Housekeeping
I am facing an issue with safety. Growth pull future.,Safety,Medium,22447,Valdezport,Security
I am facing an issue with dinner. Sound environment data sense.,Food Quality,Low,77479,Ryanshire,Catering
I am facing an issue with on time. My north expert indeed.,Delay,Low,82364,New Kimberlyfurt,Operations
I am facing an issue with delay. Capital quality point.,Delay,Low,29709,Brandonborough,Operations
I am facing an issue with issue. Public difference professor to American.,Other,Medium,72600,Cruzville,Customer Support
I am facing an issue with punctual. Teach job three husband tax.,Delay,Low,25660,Murrayview,Operations
I am facing an issue with reservation. Scientist some catch sort spring home.,Ticketing,Medium,49441,Port April,Ticketing
I am facing an issue with ticket. At pass pretty system.,Ticketing,Medium,74973,New John,Ticketing
I am facing an issue with rude. Other discover somebody probably six piece plant.,Staff Behavior,Medium,68781,East Matthew,HR
I am facing an issue with price. Religious enjoy administration next certain structure small.,Ticketing,Medium,80667,Millerbury,Ticketing
I am facing an issue with seat. Plan leave kitchen at suddenly without growth.,Ticketing,Medium,66337,Hernandezview,Ticketing
I am facing an issue with unclean. Also similar science.,Cleanliness,High,81191,Lake Daniellemouth,Housekeeping
I am facing an issue with safety. Catch plant sing baby large degree business.,Safety,Medium,28146,Lake Kathryn,Security
I am facing an issue with cooperative. Generation voice section method.,Staff Behavior,High,18025,Port Mary,HR
I am facing an issue with attendant. Floor record best step.,Staff Behavior,Medium,37011,North Emilybury,HR
I am facing an issue with issue. Industry enjoy ground.,Other,Medium,42430,Christopherton,Customer Support
I am facing an issue with meal. Learn west century clear cut also finish.,Food Quality,High,31781,Tracyside,Catering
I am facing an issue with unclean. Their behavior big.,Cleanliness,High,59084,North Suehaven,Housekeeping
I am facing an issue with issue. Into each data same trouble tax nor.,Other,High,46833,Kennethtown,Customer Support
I am facing an issue with dinner. Child show again Mr message.,Food Quality,High,60048,Patrickland,Catering
I am facing an issue with issue. Return card unit well.,Other,Medium,14472,South Jameshaven,Customer Support
I am facing an issue with behavior. Show tax people.,Staff Behavior,High,16709,Lake Kylemouth,HR
I am facing an issue with hygiene. Yard population claim budget against billion.,Cleanliness,High,61277,North Kimberly,Housekeeping
I am facing an issue with refund. Soon glass possible through bank off.,Ticketing,Medium,11885,Tammymouth,Ticketing
I am facing an issue with taste. Yourself fund personal part someone day.,Food Quality,Medium,38669,Mariaside,Catering
I am facing an issue with unclean. Democratic add lose happen home even.,Cleanliness,Medium,34672,Susanstad,Housekeeping
I am facing an issue with safety. Experience give interview case now white.,Safety,Medium,25298,Jessicashire,Security
I am facing an issue with toilet. Through single rate week teacher size even.,Cleanliness,High,88192,Port Brooke,Housekeeping
I am facing an issue with on time. Plant especially save administration figure including.,Delay,High,99029,Shawbury,Operations
I am facing an issue with unsafe. Myself Mr within market there speech organization edge.,Safety,High,26573,Steventown,Security
I am facing an issue with helpful. Her have present eye like.,Staff Behavior,Low,28374,Saraton,HR
I am facing an issue with meal. Everybody what television.,Food Quality,Medium,79134,Carrmouth,Catering
I am facing an issue with behavior. Protect nothing child sign ready important process.,Staff Behavior,Low,73569,Michaelville,HR
I am facing an issue with punctual. Money pull pretty PM authority art best suddenly.,Delay,High,46482,Contrerasshire,Operations
I am facing an issue with safety. Bill hotel too though least arrive.,Safety,High,36120,South Michaelberg,Security
I am facing an issue with waiting. Too generation sometimes note approach.,Delay,High,87776,Stevenmouth,Operations
I am facing an issue with dinner. Sometimes chance sport gun rich hour third food.,Food Quality,Low,91263,West Caseyburgh,Catering
I am facing an issue with bathroom. Particular consider bar cost play mean inside.,Cleanliness,Medium,25728,East Christopher,Housekeeping
I am facing an issue with taste. Teach half nice speech property agree.,Food Quality,Low,55662,South Gabriellemouth,Catering
I am facing an issue with rude. Ready tough face want notice choice agency notice.,Staff Behavior,High,45310,Charlesport,HR
I am facing an issue with on time. Especially bad bring.,Delay,Medium,86308,West Kristen,Operations
I am facing an issue with clean. Perhaps citizen candidate red give all around building.,Cleanliness,High,19142,Hallland,Housekeeping
I am facing an issue with toilet. Toward commercial happen next training fear.,Cleanliness,Low,60007,Port Jamesfort,Housekeeping
I am facing an issue with danger. Film deal would western step.,Safety,Medium,70480,East Rebecca,Security
I am facing an issue with punctual. Discussion lot office back.,Delay,High,82097,North Dana,Operations
I am facing an issue with ticket. Participant box successful nearly.,Ticketing,Medium,73610,Brittanystad,Ticketing
I am facing an issue with unclean. Deal talk store join world various ten imagine.,Cleanliness,Medium,59657,New Andrewview,Housekeeping
I am facing an issue with issue. Treatment anything else late computer treat.,Other,Medium,45909,Robertport,Customer Support
I am facing an issue with stale. Then than number agreement manage grow could small.,Food Quality,High,48809,Samanthaville,Catering
I am facing an issue with toilet. Ago want present necessary hospital.,Cleanliness,Low,54322,Lake Nicholemouth,Housekeeping
I am facing an issue with cooperative. Democratic rate great.,Staff Behavior,High,78147,South Tabitha,HR
I am facing an issue with waiting. Look data pass door nice help western.,Delay,Medium,32726,North Anastad,Operations
I am facing an issue with reservation. Effect there when tell.,Ticketing,Medium,47969,Lake Gregory,Ticketing
I am facing an issue with rude. Large himself huge someone want.,Staff Behavior,Medium,31840,Garciamouth,HR
I am facing an issue with ticket. Information upon site go college direction adult.,Ticketing,High,61443,Kingfort,Ticketing
I am facing an issue with rude. Mission care project population unit dog.,Staff Behavior,High,66045,New Elizabeth,HR
I am facing an issue with issue. Major those give must test.,Other,High,86338,West Richardstad,Customer Support
I am facing an issue with conductor. Would present morning control natural computer sign.,Ticketing,Medium,67319,New Yolandaville,Ticketing
I am facing an issue with on time. Third visit final move hold.,Delay,Low,14913,North Melissatown,Operations
I am facing an issue with theft. Choice nearly else director view child.,Safety,Medium,10049,Mosleymouth,Security
I am facing an issue with price. Century focus politics until bank sort.,Ticketing,Low,61390,Thomasburgh,Ticketing
I am facing an issue with punctual. Must government wall fire.,Delay,Low,86535,Ericksonville,Operations
I am facing an issue with issue. Early newspaper military opportunity memory interest.,Other,Medium,58662,East James,Customer Support
I am facing an issue with accident. Middle special area analysis behavior.,Safety,Low,10937,West Natashamouth,Security
I am facing an issue with danger. A relationship local five.,Safety,Medium,60174,East Jessicaborough,Security
I am facing an issue with toilet. Run growth military generation partner president hope.,Cleanliness,Low,50958,Michellemouth,Housekeeping
I am facing an issue with food. Reduce treat great well hard direction.,Food Quality,Medium,41886,North Stevenhaven,Catering
I am facing an issue with food. Pass phone call church go.,Food Quality,Low,81464,East Dennis,Catering
I am facing an issue with delay. Hot war involve put.,Delay,High,46121,Kristentown,Operations
I am facing an issue with safety. Month bank floor us food week.,Safety,High,44576,West Davidport,Security
I am facing an issue with meal. From man college official weight without read crime.,Food Quality,High,30666,West Williamchester,Catering
I am facing an issue with punctual. Measure message follow him.,Delay,High,91827,Shawnaville,Operations
I am facing an issue with taste. With them expert thought road main culture.,Food Quality,Medium,93345,Danielstad,Catering
I am facing an issue with issue. Letter threat thought feel game.,Other,Low,23414,South Elizabethhaven,Customer Support
I am facing an issue with meal. Lawyer there serve type.,Food Quality,Low,65637,Jacksonburgh,Catering
I am facing an issue with punctual. Organization billion cover upon.,Delay,High,90911,Burtonborough,Operations
I am facing an issue with theft. Suggest entire popular experience scene which shake.,Safety,High,57870,Faulknerview,Security
I am facing an issue with reservation. Moment officer buy money ten executive quite majority.,Ticketing,Medium,49409,Davidberg,Ticketing
I am facing an issue with clean. Affect work few myself beyond entire.,Cleanliness,Low,94095,Laurieton,Housekeeping
